Cal_Disp, mm, Sen_Disp, mm, Temperature, 'c, Time, s 
Cal_Disp, mm, Sen_Disp, mm, Temperature, 'c, Time, s 
Cal_Disp, mm, Temperature, 'c, Time, s 
81 mm, 44 'c, 6.000000 s 
82 mm, 45 'c, 6.200000 s 
83 mm, 45 'c, 6.400000 s 
81 mm, 46 'c, 6.600000 s 
82 mm, 47 'c, 6.800000 s 
83 mm, 48 'c, 7.000000 s 
84 mm, 48 'c, 7.200000 s 
84 mm, 49 'c, 7.400000 s 
85 mm, 50 'c, 7.600000 s 
85 mm, 50 'c, 7.800000 s 
87 mm, 51 'c, 8.000000 s 
90 mm, 51 'c, 8.200000 s 
90 mm, 52 'c, 8.400000 s 
89 mm, 52 'c, 8.600000 s 
91 mm, 53 'c, 8.800000 s 
91 mm, 53 'c, 9.000000 s 
92 mm, 54 'c, 9.200000 s 
92 mm, 55 'c, 9.400000 s 
91 mm, 55 'c, 9.600000 s 
93 mm, 56 'c, 9.800000 s 
94 mm, 57 'c, 10.000000 s 
94 mm, 57 'c, 10.200000 s 
94 mm, 57 'c, 10.400000 s 
96 mm, 58 'c, 10.600000 s 
95 mm, 58 'c, 10.800000 s 
95 mm, 59 'c, 11.000000 s 
98 mm, 59 'c, 11.200000 s 
98 mm, 60 'c, 11.400000 s 
97 mm, 60 'c, 11.600000 s 
97 mm, 61 'c, 11.800000 s 
100 mm, 62 'c, 12.000000 s 
98 mm, 62 'c, 12.200000 s 
100 mm, 62 'c, 12.400000 s 
100 mm, 63 'c, 12.600000 s 
100 mm, 64 'c, 12.800000 s 
101 mm, 64 'c, 13.000000 s 
102 mm, 65 'c, 13.200000 s 
102 mm, 66 'c, 13.400000 s 
101 mm, 66 'c, 13.600000 s 
101 mm, 67 'c, 13.800000 s 
103 mm, 67 'c, 14.000000 s 
106 mm, 67 'c, 14.200000 s 
103 mm, 68 'c, 14.400000 s 
107 mm, 68 'c, 14.600000 s 
104 mm, 68 'c, 14.800000 s 
107 mm, 69 'c, 15.000000 s 
106 mm, 69 'c, 15.200000 s 
107 mm, 70 'c, 15.400000 s 
106 mm, 70 'c, 15.600000 s 
107 mm, 71 'c, 15.800000 s 
109 mm, 71 'c, 16.000000 s 
108 mm, 72 'c, 16.200000 s 
109 mm, 72 'c, 16.400000 s 
108 mm, 72 'c, 16.600000 s 
108 mm, 73 'c, 16.800000 s 
110 mm, 73 'c, 17.000000 s 
110 mm, 74 'c, 17.200000 s 
112 mm, 74 'c, 17.400000 s 
112 mm, 75 'c, 17.600000 s 
112 mm, 75 'c, 17.800000 s 
112 mm, 75 'c, 18.000000 s 
109 mm, 75 'c, 18.200000 s 
110 mm, 76 'c, 18.400000 s 
110 mm, 76 'c, 18.600000 s 
112 mm, 77 'c, 18.800000 s 
116 mm, 77 'c, 19.000000 s 
114 mm, 78 'c, 19.200000 s 
116 mm, 78 'c, 19.400000 s 
114 mm, 79 'c, 19.600000 s 
114 mm, 79 'c, 19.800000 s 
117 mm, 80 'c, 20.000000 s 
116 mm, 80 'c, 20.200000 s 
115 mm, 81 'c, 20.400000 s 
116 mm, 81 'c, 20.600000 s 
116 mm, 81 'c, 20.800000 s 
116 mm, 81 'c, 21.000000 s 
116 mm, 81 'c, 21.200000 s 
115 mm, 80 'c, 21.400000 s 
115 mm, 80 'c, 21.600000 s 
115 mm, 80 'c, 21.800000 s 
116 mm, 80 'c, 22.000000 s 
115 mm, 79 'c, 22.200000 s 
114 mm, 79 'c, 22.400000 s 
116 mm, 78 'c, 22.600000 s 
116 mm, 78 'c, 22.800000 s 
116 mm, 78 'c, 23.000000 s 
116 mm, 77 'c, 23.200000 s 
116 mm, 77 'c, 23.400000 s 
115 mm, 76 'c, 23.600000 s 
115 mm, 76 'c, 23.800000 s 
112 mm, 76 'c, 24.000000 s 
113 mm, 75 'c, 24.200000 s 
112 mm, 75 'c, 24.400000 s 
113 mm, 74 'c, 24.600000 s 
112 mm, 74 'c, 24.800000 s 
112 mm, 74 'c, 25.000000 s 
111 mm, 74 'c, 25.200000 s 
112 mm, 73 'c, 25.400000 s 
111 mm, 73 'c, 25.600000 s 
109 mm, 72 'c, 25.800000 s 
109 mm, 72 'c, 26.000000 s 
109 mm, 71 'c, 26.200000 s 
109 mm, 71 'c, 26.400000 s 
109 mm, 71 'c, 26.600000 s 
109 mm, 71 'c, 26.800000 s 
107 mm, 70 'c, 27.000000 s 
108 mm, 70 'c, 27.200000 s 
108 mm, 70 'c, 27.400000 s 
